group,math_scores,physics_scores,russian_scores,attendance,age,gender,exam_results
A,4.6,3.8,3.9,41,младшие,женский,сдал
A,3.9,4.2,4.3,5,средние,мужской,не сдал
A,3.9,4.0,4.2,5,младшие,женский,сдал
A,3.6,4.3,4.5,11,старшие,мужской,не сдал
A,3.5,3.9,4.1,4,старшие,мужской,сдал
A,3.4,3.6,4.1,9,младшие,мужской,сдал
A,4.2,3.8,4.2,22,младшие,женский,сдал
A,3.4,3.8,4.2,62,старшие,женский,сдал
A,4.0,4.2,4.0,6,средние,мужской,сдал
A,4.5,4.4,3.5,0,старшие,женский,сдал
A,3.3,4.3,3.6,4,средние,мужской,сдал
A,4.7,3.9,4.7,13,младшие,женский,сдал
A,3.7,3.8,3.8,6,старшие,женский,сдал
A,3.8,4.0,4.1,4,средние,женский,сдал
A,3.3,4.4,3.8,21,средние,женский,сдал
A,4.9,4.9,3.8,3,младшие,мужской,сдал
A,2.7,4.2,4.0,1,младшие,женский,сдал
A,4.2,3.9,4.5,0,младшие,мужской,сдал
A,4.0,3.8,4.1,1,средние,мужской,сдал
A,3.7,3.9,4.0,21,младшие,мужской,сдал
A,4.2,3.5,4.6,4,старшие,мужской,не сдал
A,4.1,4.0,3.8,2,младшие,женский,сдал
A,3.4,4.2,4.3,11,старшие,женский,сдал
A,4.3,3.9,3.9,4,средние,женский,сдал
A,4.1,4.1,4.3,34,младшие,женский,сдал
A,3.7,4.2,3.8,1,средние,женский,сдал
A,4.3,4.0,4.0,9,средние,мужской,сдал
A,3.7,4.2,4.4,28,старшие,мужской,сдал
A,4.3,4.3,4.5,13,младшие,мужской,не сдал
A,3.8,3.9,4.8,1,младшие,мужской,сдал
A,4.5,4.1,3.7,14,старшие,женский,не сдал
A,3.2,4.5,4.5,8,младшие,женский,сдал
A,3.8,3.7,3.8,5,старшие,мужской,сдал
A,3.9,4.0,4.5,0,младшие,женский,сдал
A,4.1,4.2,3.8,3,средние,мужской,сдал
A,3.5,3.6,4.1,11,средние,женский,сдал
A,4.2,3.5,3.6,7,младшие,женский,сдал
